title,status,proposal_date,categories,party_cleaned
ร่างพระราชบัญญัติกัญชา กัญชง พ.ศ. ....,IN_PROGRESS,2024-02-29,สาธารณสุข,พรรคประชาชน
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดการประมง พ.ศ. 2558 พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติโรงงาน (ฉบับที่..) พ.ศ. ....,MERGED,2025-09-01,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติภาพยนตร์ พ.ศ. ....,IN_PROGRESS,2024-02-29,วัฒนธรรม,พรรคประชาชน
ร่างพระราชบัญญัติลำไย พ.ศ. ....,MERGED,2024-07-24,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติกิจการฮัจย์ พ.ศ. ....,IN_PROGRESS,2023-08-30,วัฒนธรรม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติกิจการฮัจย์ พ.ศ. ....,IN_PROGRESS,2023-08-30,วัฒนธรรม,พรรคภูมิใจไทย
พระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ ..) พ.ศ. ....,ENACTED,2024-02-29,แรงงาน,พรรคภูมิใจไทย
ร่างพระราชบัญญัติการประกอบกิจการกระจายเสียงและกิจการโทรทัศน์ (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-07-09,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติอากาศสะอาดเพื่อประชาชน พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติอากาศสะอาดเพื่อประชาชน พ.ศ. ....,MERGED,2023-09-27,สิ่งแวดล้อม,พรรคภูมิใจไทย
ร่างพระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายอาญา (ฉบับที่ ..) พ.ศ. ....,MERGED,2024-01-17,กระบวนการยุติธรรม,พรรคประชาชน
พระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,MERGED,2025-07-04,การเมือง,พรรคภูมิใจไทย
พระราชบัญญัติสร้างเสริมสังคมสันติสุข พ.ศ. ....,MERGED,2025-07-04,การเมือง,พรรคภูมิใจไทย
ร่างพระราชบัญญัติเปลี่ยนแปลงฐานะขององค์การบริหารส่วนตำบลเป็นเทศบาลตำบล พ.ศ. ....,IN_PROGRESS,2024-02-28,การเมือง,พรรคเพื่อไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-09-27,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติระเบียงเขตเศรษฐกิจพิเศษภาคใต้ พ.ศ. ....,IN_PROGRESS,2023-09-27,เศรษฐกิจ,พรรคภูมิใจไทย
ร่างพระราชบัญญัติโรงแรมและสถานที่พักที่ไม่เป็นโรงแรม (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-02,เศรษฐกิจ,พรรคเพื่อไทย
ร่างพระราชบัญญัติป่าสงวนแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,REJECTED,2024-07-03,สิ่งแวดล้อม,พรรคประชาชาติ
ร่างพระราชบัญญัติการจัดซื้อจัดจ้างและการบริหารพัสดุภาครัฐ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2025-07-16,เศรษฐกิจ,พรรคประชาชน
ร่างพระราชบัญญัติราชทัณฑ์ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-02-21,กระบวนการยุติธรรม,พรรคประชาธิปัตย์
ร่างพระราชบัญญัติอุทยานแห่งชาติ (ฉบับที่ ..) พ.ศ. ....,IN_PROGRESS,2024-07-03,สิ่งแวดล้อม,พรรคประชาชาติ
